Date : 2023-10-27 18:20:54
Directory : c:\Users\bobbo\Documents\GitHub\FoodDynasty\Assets\Dynasty
Total : 151 files,  1388 codes, 4 comments, 396 blanks, all 1788 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        151 |      1,388 |          4 |        396 |      1,788 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        151 |      1,388 |          4 |        396 |      1,788 |
| Core                                                                                                             |         21 |        311 |          3 |         98 |        412 |
| Core\Grid                                                                                                        |         15 |        251 |          3 |         85 |        339 |
| Core\Grid (Files)                                                                                                |          8 |        117 |          3 |         38 |        158 |
| Core\Grid\Interaction                                                                                            |          7 |        134 |          0 |         47 |        181 |
| Core\Inventory                                                                                                   |          5 |         19 |          0 |          4 |         23 |
| Core\Inventory (Files)                                                                                           |          2 |         18 |          0 |          3 |         21 |
| Core\Inventory\Data                                                                                              |          3 |          1 |          0 |          1 |          2 |
| Core\Tooltip                                                                                                     |          1 |         41 |          0 |          9 |         50 |
| Editor                                                                                                           |         13 |          6 |          1 |          8 |         15 |
| Editor\Drawers                                                                                                   |          4 |         13 |          1 |          6 |         20 |
| Editor\Editors                                                                                                   |          3 |         -3 |          0 |          1 |         -2 |
| Editor\ItemExplorer                                                                                              |          5 |        -19 |          0 |         -2 |        -21 |
| Editor\Util                                                                                                      |          1 |         15 |          0 |          3 |         18 |
| Food                                                                                                             |         14 |         74 |          0 |         24 |         98 |
| Food\Data                                                                                                        |          2 |         -4 |          0 |          0 |         -4 |
| Food\Filtering                                                                                                   |          2 |          6 |          0 |          1 |          7 |
| Food\Instance                                                                                                    |          8 |         59 |          0 |         21 |         80 |
| Food\Modification                                                                                                |          2 |         13 |          0 |          2 |         15 |
| Library                                                                                                          |         25 |        197 |          0 |         42 |        239 |
| Library\Audio                                                                                                    |          6 |         96 |          0 |         17 |        113 |
| Library\Classes                                                                                                  |          2 |         36 |          0 |          9 |         45 |
